CST,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-9-5,87,78,68,69,64,62,90,60,43,29.92,29.89,29.85,15,13,8,25,13,NA,0,0,,170,9,5,1996,09-05,4,35,1996-09-05,Chicago,30.5555555555555,25.5555555555555,20,20.5555555555555,17.7777777777778,16.6666666666667
1996-9-6,87,75,63,66,63,60,95,65,45,29.97,29.94,29.91,12,10,7,14,9,NA,0,2,,158,9,6,1996,09-06,5,35,1996-09-06,Chicago,30.5555555555555,23.8888888888889,17.2222222222222,18.8888888888889,17.2222222222222,15.5555555555555
1996-9-7,66,63,60,63,61,57,96,91,87,29.99,29.97,29.95,10,9,8,12,10,NA,0,8,,356,9,7,1996,09-07,6,35,1996-09-07,Chicago,18.8888888888889,17.2222222222222,15.5555555555555,17.2222222222222,16.1111111111111,13.8888888888889
1996-9-8,82,70,61,64,61,58,89,72,49,30.02,29.99,29.94,15,13,8,6,1,NA,0,3,,265,9,8,1996,09-08,7,36,1996-09-08,Chicago,27.7777777777778,21.1111111111111,16.1111111111111,17.7777777777778,16.1111111111111,14.4444444444445
1996-9-9,84,66,48,65,58,46,94,66,41,30.04,30.01,29.97,15,12,6,17,6,NA,0,1,,174,9,9,1996,09-09,1,36,1996-09-09,Chicago,28.8888888888889,18.8888888888889,8.88888888888891,18.3333333333333,14.4444444444445,7.77777777777777
1996-9-10,87,71,55,66,61,50,83,64,43,30.04,30.03,30.01,15,14,10,9,3,NA,0,2,,162,9,10,1996,09-10,2,36,1996-09-10,Chicago,30.5555555555555,21.6666666666667,12.7777777777778,18.8888888888889,16.1111111111111,10
1996-9-11,73,65,57,61,54,48,83,65,51,30.22,30.19,30.16,15,15,15,12,7,NA,0,3,,45,9,11,1996,09-11,3,36,1996-09-11,Chicago,22.7777777777778,18.3333333333333,13.8888888888889,16.1111111111111,12.2222222222222,8.88888888888891
1996-9-12,71,56,42,54,46,37,81,52,35,30.24,30.17,30.09,20,16,1,6,1,NA,0,3,,163,9,12,1996,09-12,4,36,1996-09-12,Chicago,21.6666666666667,13.3333333333333,5.55555555555554,12.2222222222222,7.77777777777777,2.77777777777777
1996-9-13,66,58,50,53,50,46,87,66,50,30.1,30.06,30,15,15,15,14,6,NA,0,5,,138,9,13,1996,09-13,5,36,1996-09-13,Chicago,18.8888888888889,14.4444444444445,10,11.6666666666667,10,7.77777777777777
1996-9-14,60,55,50,49,46,44,82,69,62,29.96,29.94,29.89,20,18,15,12,7,NA,0,8,,138,9,14,1996,09-14,6,36,1996-09-14,Chicago,15.5555555555555,12.7777777777778,10,9.44444444444446,7.77777777777777,6.66666666666669
1996-9-15,55,53,51,50,49,48,94,85,82,29.87,29.84,29.82,10,10,10,9,6,NA,0,8,,109,9,15,1996,09-15,7,37,1996-09-15,Chicago,12.7777777777778,11.6666666666667,10.5555555555555,10,9.44444444444446,8.88888888888891
1996-9-16,68,62,55,52,49,47,77,66,52,29.96,29.93,29.88,15,15,15,12,3,NA,0,7,,118,9,16,1996,09-16,1,37,1996-09-16,Chicago,20,16.6666666666667,12.7777777777778,11.1111111111111,9.44444444444446,8.33333333333331
1996-9-17,64,60,57,52,50,46,78,67,59,30.08,30.06,30.05,15,15,15,15,12,NA,0,7,,131,9,17,1996,09-17,2,37,1996-09-17,Chicago,17.7777777777778,15.5555555555555,13.8888888888889,11.1111111111111,10,7.77777777777777
1996-9-18,60,56,52,57,52,48,94,89,88,30.11,30.07,30.04,15,6,2,17,12,NA,0,8,,134,9,18,1996,09-18,3,37,1996-09-18,Chicago,15.5555555555555,13.3333333333333,11.1111111111111,13.8888888888889,11.1111111111111,8.88888888888891
1996-9-19,60,56,53,57,54,51,94,91,88,29.78,29.7,29.65,10,6,2,21,13,NA,0,8,Rain,134,9,19,1996,09-19,4,37,1996-09-19,Chicago,15.5555555555555,13.3333333333333,11.6666666666667,13.8888888888889,12.2222222222222,10.5555555555555
1996-9-20,63,53,43,47,43,39,93,58,43,29.81,29.79,29.78,15,15,12,26,17,NA,0,5,,287,9,20,1996,09-20,5,37,1996-09-20,Chicago,17.2222222222222,11.6666666666667,6.11111111111109,8.33333333333331,6.11111111111109,3.88888888888891
1996-9-21,75,60,45,50,44,38,78,47,31,29.86,29.83,29.8,15,15,15,12,8,NA,0,0,,303,9,21,1996,09-21,6,37,1996-09-21,Chicago,23.8888888888889,15.5555555555555,7.22222222222223,10,6.66666666666669,3.33333333333331
1996-9-22,69,63,57,54,52,49,73,62,56,29.89,29.83,29.8,15,15,15,15,7,NA,0,6,,120,9,22,1996,09-22,7,38,1996-09-22,Chicago,20.5555555555555,17.2222222222222,13.8888888888889,12.2222222222222,11.1111111111111,9.44444444444446
1996-9-23,66,58,50,51,47,41,77,62,50,30.18,30.1,29.96,15,15,15,26,14,NA,0,3,,5,9,23,1996,09-23,1,38,1996-09-23,Chicago,18.8888888888889,14.4444444444445,10,10.5555555555555,8.33333333333331,5
1996-9-24,59,46,33,49,42,32,96,74,63,30.24,30.2,30.1,15,15,15,14,6,NA,0,6,,170,9,24,1996,09-24,2,38,1996-09-24,Chicago,15,7.77777777777777,0.555555555555543,9.44444444444446,5.55555555555554,0
1996-9-25,57,56,54,55,52,47,94,85,77,29.88,29.79,29.71,15,12,8,12,6,NA,0,8,,152,9,25,1996,09-25,3,38,1996-09-25,Chicago,13.8888888888889,13.3333333333333,12.2222222222222,12.7777777777778,11.1111111111111,8.33333333333331
1996-9-26,57,50,44,42,39,36,80,64,46,29.86,29.83,29.8,15,15,15,14,12,NA,0,6,,324,9,26,1996,09-26,4,38,1996-09-26,Chicago,13.8888888888889,10,6.66666666666669,5.55555555555554,3.88888888888891,2.22222222222223
1996-9-27,54,51,48,38,36,34,68,54,50,29.92,29.91,29.9,20,16,15,32,22,NA,0,4,,303,9,27,1996,09-27,5,38,1996-09-27,Chicago,12.2222222222222,10.5555555555555,8.88888888888891,3.33333333333331,2.22222222222223,1.11111111111109
1996-9-28,73,54,35,46,41,33,93,54,34,30.03,30,29.95,15,15,15,12,3,NA,0,2,,297,9,28,1996,09-28,6,38,1996-09-28,Chicago,22.7777777777778,12.2222222222222,1.66666666666669,7.77777777777777,5,0.555555555555543
1996-9-29,67,56,45,50,46,36,87,64,53,30.19,30.13,30.04,20,19,15,14,11,NA,0,2,,89,9,29,1996,09-29,7,39,1996-09-29,Chicago,19.4444444444445,13.3333333333333,7.22222222222223,10,7.77777777777777,2.22222222222223
1996-9-30,82,68,55,48,45,38,71,43,22,30,29.95,29.89,15,15,15,25,9,NA,0,1,,174,9,30,1996,09-30,1,39,1996-09-30,Chicago,27.7777777777778,20,12.7777777777778,8.88888888888891,7.22222222222223,3.33333333333331
1996-10-1,80,70,60,48,41,37,51,35,23,29.82,29.79,29.75,15,15,15,24,14,NA,0,3,,183,10,1,1996,10-01,2,39,1996-10-01,Chicago,26.6666666666667,21.1111111111111,15.5555555555555,8.88888888888891,5,2.77777777777777
1996-10-2,50,46,42,41,39,35,83,76,66,30.55,30.45,30.15,15,15,15,28,19,NA,0,4,,15,10,2,1996,10-02,3,39,1996-10-02,Chicago,10,7.77777777777777,5.55555555555554,5,3.88888888888891,1.66666666666669
1996-10-3,57,44,32,38,35,27,80,57,45,30.45,30.35,30.21,15,15,15,14,10,NA,0,1,,158,10,3,1996,10-03,4,39,1996-10-03,Chicago,13.8888888888889,6.66666666666669,0,3.33333333333331,1.66666666666669,-2.77777777777777
1996-10-4,75,58,42,61,47,38,85,57,33,30.18,30.13,30.08,15,15,10,25,10,NA,0,3,,0,10,4,1996,10-04,5,39,1996-10-04,Chicago,23.8888888888889,14.4444444444445,5.55555555555554,16.1111111111111,8.33333333333331,3.33333333333331
1996-10-5,80,65,50,59,49,45,82,57,30,30.06,30.03,29.96,15,15,15,23,17,NA,0,5,,188,10,5,1996,10-05,6,39,1996-10-05,Chicago,26.6666666666667,18.3333333333333,10,15,9.44444444444446,7.22222222222223
1996-10-6,68,62,55,50,46,41,72,56,37,30.2,30.16,30.11,15,15,15,16,12,NA,0,2,,5,10,6,1996,10-06,7,40,1996-10-06,Chicago,20,16.6666666666667,12.7777777777778,10,7.77777777777777,5
1996-10-7,57,50,44,43,39,35,78,66,59,30.25,30.22,30.14,15,15,15,12,6,NA,0,5,,14,10,7,1996,10-07,1,40,1996-10-07,Chicago,13.8888888888889,10,6.66666666666669,6.11111111111109,3.88888888888891,1.66666666666669
1996-10-8,75,54,32,49,40,30,93,54,32,29.98,29.94,29.9,15,15,15,23,5,NA,0,1,,319,10,8,1996,10-08,2,40,1996-10-08,Chicago,23.8888888888889,12.2222222222222,0,9.44444444444446,4.44444444444446,-1.11111111111109
1996-10-9,66,54,42,42,40,35,81,51,33,30.17,30.14,30.09,15,15,15,21,13,NA,0,1,,329,10,9,1996,10-09,3,40,1996-10-09,Chicago,18.8888888888889,12.2222222222222,5.55555555555554,5.55555555555554,4.44444444444446,1.66666666666669
1996-10-10,62,44,28,43,37,27,96,63,42,30.39,30.33,30.18,15,15,15,17,5,NA,0,0,,170,10,10,1996,10-10,4,40,1996-10-10,Chicago,16.6666666666667,6.66666666666669,-2.22222222222223,6.11111111111109,2.77777777777777,-2.77777777777777
1996-10-11,77,58,39,50,45,32,76,51,39,29.95,29.87,29.81,15,15,15,17,11,NA,0,0,,175,10,11,1996,10-11,5,40,1996-10-11,Chicago,25,14.4444444444445,3.88888888888891,10,7.22222222222223,0
1996-10-12,86,65,44,57,52,42,93,61,34,29.91,29.88,29.85,20,15,10,8,2,NA,0,2,,143,10,12,1996,10-12,6,40,1996-10-12,Chicago,30,18.3333333333333,6.66666666666669,13.8888888888889,11.1111111111111,5.55555555555554
1996-10-13,82,62,42,58,45,39,93,55,26,30.03,29.98,29.93,15,15,15,14,4,NA,0,0,,104,10,13,1996,10-13,7,41,1996-10-13,Chicago,27.7777777777778,16.6666666666667,5.55555555555554,14.4444444444445,7.22222222222223,3.88888888888891
1996-10-14,79,68,57,57,53,43,58,48,44,29.9,29.85,29.81,15,15,12,17,14,NA,0,1,,195,10,14,1996,10-14,1,41,1996-10-14,Chicago,26.1111111111111,20,13.8888888888889,13.8888888888889,11.6666666666667,6.11111111111109
1996-10-15,75,54,34,50,42,29,82,52,35,30,29.93,29.81,15,15,15,14,7,NA,0,3,,206,10,15,1996,10-15,2,41,1996-10-15,Chicago,23.8888888888889,12.2222222222222,1.11111111111109,10,5.55555555555554,-1.66666666666669
1996-10-16,78,60,41,62,50,40,98,67,49,29.74,29.65,29.53,15,12,1,23,6,NA,0,4,Fog,133,10,16,1996,10-16,3,41,1996-10-16,Chicago,25.5555555555555,15.5555555555555,5,16.6666666666667,10,4.44444444444446
1996-10-17,51,44,37,39,34,32,84,67,50,30.09,29.95,29.82,15,15,12,28,23,NA,0,5,,317,10,17,1996,10-17,4,41,1996-10-17,Chicago,10.5555555555555,6.66666666666669,2.77777777777777,3.88888888888891,1.11111111111109,0
1996-10-18,60,44,27,39,33,23,90,61,45,30.16,30.06,29.9,15,15,15,18,5,NA,0,0,,204,10,18,1996,10-18,5,41,1996-10-18,Chicago,15.5555555555555,6.66666666666669,-2.77777777777777,3.88888888888891,0.555555555555543,-5
1996-10-19,63,56,48,40,37,32,68,48,35,29.66,29.58,29.48,15,14,1,23,14,NA,0,4,,165,10,19,1996,10-19,6,41,1996-10-19,Chicago,17.2222222222222,13.3333333333333,8.88888888888891,4.44444444444446,2.77777777777777,0
1996-10-20,55,50,45,40,37,34,69,60,45,29.76,29.61,29.48,15,15,15,23,17,NA,0,7,,317,10,20,1996,10-20,7,42,1996-10-20,Chicago,12.7777777777778,10,7.22222222222223,4.44444444444446,2.77777777777777,1.11111111111109
1996-10-21,44,36,28,29,25,23,93,63,43,30.1,30.07,30.04,15,15,15,23,10,NA,0,4,,321,10,21,1996,10-21,1,42,1996-10-21,Chicago,6.66666666666669,2.22222222222223,-2.22222222222223,-1.66666666666669,-3.88888888888891,-5
1996-10-22,50,40,30,26,20,15,81,44,24,29.99,29.8,29.72,20,20,15,24,16,32,0,6,,340,10,22,1996,10-22,2,42,1996-10-22,Chicago,10,4.44444444444446,-1.11111111111109,-3.33333333333331,-6.66666666666669,-9.44444444444446
1996-10-23,64,49,34,33,30,28,74,39,25,29.83,29.81,29.8,20,20,20,18,14,NA,0,4,,325,10,23,1996,10-23,3,42,1996-10-23,Chicago,17.7777777777778,9.44444444444446,1.11111111111109,0.555555555555543,-1.11111111111109,-2.22222222222223
1996-10-24,68,52,35,36,30,24,83,42,19,29.8,29.65,29.53,20,20,20,23,9,31,0,4,,170,10,24,1996,10-24,4,42,1996-10-24,Chicago,20,11.1111111111111,1.66666666666669,2.22222222222223,-1.11111111111109,-4.44444444444446
1996-10-25,61,52,44,51,46,39,87,72,56,29.5,29.47,29.44,20,14,10,13,6,NA,0,8,,119,10,25,1996,10-25,5,42,1996-10-25,Chicago,16.1111111111111,11.1111111111111,6.66666666666669,10.5555555555555,7.77777777777777,3.88888888888891
1996-10-26,66,62,57,39,36,34,48,38,30,29.68,29.52,29.4,15,15,15,40,30,NA,0,3,,198,10,26,1996,10-26,6,42,1996-10-26,Chicago,18.8888888888889,16.6666666666667,13.8888888888889,3.88888888888891,2.22222222222223,1.11111111111109
1996-10-27,48,42,37,28,26,21,66,53,36,30.46,30.42,30.37,15,15,15,17,12,NA,0,4,,328,10,27,1996,10-27,7,43,1996-10-27,Chicago,8.88888888888891,5.55555555555554,2.77777777777777,-2.22222222222223,-3.33333333333331,-6.11111111111109
1996-10-28,64,46,28,41,33,21,80,53,35,30.2,30.04,29.82,15,15,15,21,6,NA,0,3,,195,10,28,1996,10-28,1,43,1996-10-28,Chicago,17.7777777777778,7.77777777777777,-2.22222222222223,5,0.555555555555543,-6.11111111111109
1996-10-29,62,52,41,54,46,37,85,79,74,29.94,29.3,29.04,15,13,8,52,29,NA,0,8,Rain,251,10,29,1996,10-29,2,43,1996-10-29,Chicago,16.6666666666667,11.1111111111111,5,12.2222222222222,7.77777777777777,2.77777777777777
1996-10-30,37,30,24,28,21,15,89,67,51,30.17,30.12,30.07,15,15,15,23,16,NA,0,4,,313,10,30,1996,10-30,3,43,1996-10-30,Chicago,2.77777777777777,-1.11111111111109,-4.44444444444446,-2.22222222222223,-6.11111111111109,-9.44444444444446
1996-10-31,37,32,28,30,27,23,90,80,65,30.24,30.16,30.02,15,15,15,14,10,NA,0,7,,315,10,31,1996,10-31,4,43,1996-10-31,Chicago,2.77777777777777,0,-2.22222222222223,-1.11111111111109,-2.77777777777777,-5
1996-11-1,45,31,17,28,24,11,83,65,46,30.14,30.11,30.03,15,15,15,17,5,NA,0,6,,318,11,1,1996,11-01,5,43,1996-11-01,Chicago,7.22222222222223,-0.555555555555543,-8.33333333333331,-2.22222222222223,-4.44444444444446,-11.6666666666667
1996-11-2,55,35,15,31,21,9,73,41,31,30.29,30.22,30.15,15,15,15,9,4,NA,0,1,,246,11,2,1996,11-02,6,43,1996-11-02,Chicago,12.7777777777778,1.66666666666669,-9.44444444444446,-0.555555555555543,-6.11111111111109,-12.7777777777778
1996-11-3,64,48,32,39,35,30,90,49,33,30,29.88,29.74,15,15,15,17,8,NA,0,1,,173,11,3,1996,11-03,7,44,1996-11-03,Chicago,17.7777777777778,8.88888888888891,0,3.88888888888891,1.66666666666669,-1.11111111111109
1996-11-4,60,50,39,43,38,34,87,73,52,29.85,29.75,29.68,15,13,10,12,6,NA,0,4,,47,11,4,1996,11-04,1,44,1996-11-04,Chicago,15.5555555555555,10,3.88888888888891,6.11111111111109,3.33333333333331,1.11111111111109
1996-11-5,57,42,28,40,31,25,87,60,40,29.95,29.83,29.71,15,9,1,15,4,NA,0,5,,127,11,5,1996,11-05,2,44,1996-11-05,Chicago,13.8888888888889,5.55555555555554,-2.22222222222223,4.44444444444446,-0.555555555555543,-3.88888888888891
1996-11-6,52,42,33,32,26,19,87,52,27,29.97,29.93,29.91,15,15,15,23,15,NA,0,5,,310,11,6,1996,11-06,3,44,1996-11-06,Chicago,11.1111111111111,5.55555555555554,0.555555555555543,0,-3.33333333333331,-7.22222222222223
1996-11-7,55,35,15,25,18,12,86,50,22,29.98,29.92,29.86,20,18,15,21,8,NA,0,1,,304,11,7,1996,11-07,4,44,1996-11-07,Chicago,12.7777777777778,1.66666666666669,-9.44444444444446,-3.88888888888891,-7.77777777777777,-11.1111111111111
1996-11-8,46,39,32,28,25,20,81,55,41,30.24,30.1,29.98,15,15,15,23,16,NA,0,4,,317,11,8,1996,11-08,5,44,1996-11-08,Chicago,7.77777777777777,3.88888888888891,0,-2.22222222222223,-3.88888888888891,-6.66666666666669
1996-11-9,46,40,33,29,25,19,72,53,42,30.19,30.1,30.04,15,15,15,31,12,NA,0,6,,356,11,9,1996,11-09,6,44,1996-11-09,Chicago,7.77777777777777,4.44444444444446,0.555555555555543,-1.66666666666669,-3.88888888888891,-7.22222222222223
1996-11-10,39,32,25,25,22,19,80,74,45,30.26,30.22,30.19,15,15,15,12,5,NA,0,8,,99,11,10,1996,11-10,7,45,1996-11-10,Chicago,3.88888888888891,0,-3.88888888888891,-3.88888888888891,-5.55555555555554,-7.22222222222223
1996-11-11,26,24,21,19,18,15,82,74,71,30.52,30.47,30.41,15,15,15,16,9,NA,0,8,,77,11,11,1996,11-11,1,45,1996-11-11,Chicago,-3.33333333333331,-4.44444444444446,-6.11111111111109,-7.22222222222223,-7.77777777777777,-9.44444444444446
1996-11-12,32,26,21,26,21,17,88,79,69,30.58,30.5,30.39,15,15,15,15,7,NA,0,8,,159,11,12,1996,11-12,2,45,1996-11-12,Chicago,0,-3.33333333333331,-6.11111111111109,-3.33333333333331,-6.11111111111109,-8.33333333333331
1996-11-13,28,26,25,26,24,21,95,88,85,30.56,30.49,30.43,NA,NA,NA,12,10,NA,0,8,,83,11,13,1996,11-13,3,45,1996-11-13,Chicago,-2.22222222222223,-3.33333333333331,-3.88888888888891,-3.33333333333331,-4.44444444444446,-6.11111111111109
1996-11-14,27,25,23,24,22,18,91,88,83,30.36,30.2,30.08,3,3,3,18,12,NA,0,8,,130,11,14,1996,11-14,4,45,1996-11-14,Chicago,-2.77777777777777,-3.88888888888891,-5,-4.44444444444446,-5.55555555555554,-7.77777777777777
1996-11-15,34,32,30,32,30,28,99,92,87,29.84,29.78,29.73,10,8,5,12,3,NA,0,8,Rain,342,11,15,1996,11-15,5,45,1996-11-15,Chicago,1.11111111111109,0,-1.11111111111109,0,-1.11111111111109,-2.22222222222223
1996-11-16,30,25,19,30,24,17,98,92,82,29.82,29.75,29.7,4,3,0,23,14,NA,0,8,Rain-Snow,344,11,16,1996,11-16,6,45,1996-11-16,Chicago,-1.11111111111109,-3.88888888888891,-7.22222222222223,-1.11111111111109,-4.44444444444446,-8.33333333333331
1996-11-17,28,19,10,23,13,3,89,77,62,30.22,30.19,30.16,15,15,15,17,10,NA,0,2,,256,11,17,1996,11-17,7,46,1996-11-17,Chicago,-2.22222222222223,-7.22222222222223,-12.2222222222222,-5,-10.5555555555555,-16.1111111111111
1996-11-18,35,26,18,30,24,12,94,85,79,30.05,30.04,30.03,15,12,6,17,4,NA,0,6,,7,11,18,1996,11-18,1,46,1996-11-18,Chicago,1.66666666666669,-3.33333333333331,-7.77777777777777,-1.11111111111109,-4.44444444444446,-11.1111111111111
1996-11-19,35,32,28,32,30,27,94,88,82,29.85,29.82,29.78,8,3,0,12,6,NA,0,8,Fog,133,11,19,1996,11-19,2,46,1996-11-19,Chicago,1.66666666666669,0,-2.22222222222223,0,-1.11111111111109,-2.77777777777777
1996-11-20,35,32,30,34,29,28,96,92,81,29.81,29.72,29.65,7,2,0,29,9,NA,0,8,Fog,164,11,20,1996,11-20,3,46,1996-11-20,Chicago,1.66666666666669,0,-1.11111111111109,1.11111111111109,-1.66666666666669,-2.22222222222223
1996-11-21,25,22,18,20,17,12,87,81,73,30.24,30.21,30.18,15,13,8,12,9,NA,0,7,Snow,50,11,21,1996,11-21,4,46,1996-11-21,Chicago,-3.88888888888891,-5.55555555555554,-7.77777777777777,-6.66666666666669,-8.33333333333331,-11.1111111111111
1996-11-22,33,28,24,29,27,23,97,90,81,30.05,29.92,29.8,3,2,2,17,11,NA,0,8,,169,11,22,1996,11-22,5,46,1996-11-22,Chicago,0.555555555555543,-2.22222222222223,-4.44444444444446,-1.66666666666669,-2.77777777777777,-5
1996-11-23,18,16,15,12,10,8,79,76,65,30.24,30.1,29.98,15,14,10,24,21,NA,0,8,,333,11,23,1996,11-23,6,46,1996-11-23,Chicago,-7.77777777777777,-8.88888888888891,-9.44444444444446,-11.1111111111111,-12.2222222222222,-13.3333333333333
1996-11-24,21,13,5,14,6,-4,75,69,65,30.47,30.41,30.34,15,14,1,14,5,NA,0,1,,320,11,24,1996,11-24,7,47,1996-11-24,Chicago,-6.11111111111109,-10.5555555555555,-15,-10,-14.4444444444445,-20
1996-11-25,24,14,5,23,12,-4,96,73,64,30.35,30.26,30.2,15,12,1,14,4,NA,0,1,,4,11,25,1996,11-25,1,47,1996-11-25,Chicago,-4.44444444444446,-10,-15,-5,-11.1111111111111,-20
1996-11-26,21,14,8,12,7,0,77,70,67,30.57,30.54,30.5,15,7,1,6,1,NA,0,8,Snow,325,11,26,1996,11-26,2,47,1996-11-26,Chicago,-6.11111111111109,-10,-13.3333333333333,-11.1111111111111,-13.8888888888889,-17.7777777777778
1996-11-27,30,24,19,23,20,15,85,75,69,30.47,30.35,30.16,15,14,1,17,12,NA,0,4,,195,11,27,1996,11-27,3,47,1996-11-27,Chicago,-1.11111111111109,-4.44444444444446,-7.22222222222223,-5,-6.66666666666669,-9.44444444444446
1996-11-28,45,32,18,30,25,14,89,70,52,30.05,29.96,29.84,20,19,15,12,6,NA,0,1,,168,11,28,1996,11-28,4,47,1996-11-28,Chicago,7.22222222222223,0,-7.77777777777777,-1.11111111111109,-3.88888888888891,-10
1996-11-29,39,36,32,38,34,28,99,95,84,29.64,29.59,29.54,15,6,0,17,10,NA,0.5,8,Rain-Snow,227,11,29,1996,11-29,5,47,1996-11-29,Chicago,3.88888888888891,2.22222222222223,0,3.33333333333331,1.11111111111109,-2.22222222222223
1996-11-30,34,30,25,31,26,21,96,82,65,29.89,29.86,29.83,20,16,3,20,16,NA,0,4,Snow,328,11,30,1996,11-30,6,47,1996-11-30,Chicago,1.11111111111109,-1.11111111111109,-3.88888888888891,-0.555555555555543,-3.33333333333331,-6.11111111111109
1996-12-1,39,27,15,37,26,9,92,82,70,29.78,29.76,29.73,15,15,15,7,1,NA,0,1,,297,12,1,1996,12-01,7,48,1996-12-01,Chicago,3.88888888888891,-2.77777777777777,-9.44444444444446,2.77777777777777,-3.33333333333331,-12.7777777777778
1996-12-2,28,24,19,25,21,15,90,87,82,29.8,29.72,29.64,15,8,1,13,10,NA,0,8,,20,12,2,1996,12-02,1,48,1996-12-02,Chicago,-2.22222222222223,-4.44444444444446,-7.22222222222223,-3.88888888888891,-6.11111111111109,-9.44444444444446
1996-12-3,39,26,12,31,22,7,83,74,68,30.15,30.11,30.08,15,15,10,12,2,NA,0,1,,223,12,3,1996,12-03,2,48,1996-12-03,Chicago,3.88888888888891,-3.33333333333331,-11.1111111111111,-0.555555555555543,-5.55555555555554,-13.8888888888889
1996-12-4,37,30,24,30,27,16,88,77,70,29.99,29.93,29.88,15,13,1,16,6,NA,0,3,,335,12,4,1996,12-04,3,48,1996-12-04,Chicago,2.77777777777777,-1.11111111111109,-4.44444444444446,-1.11111111111109,-2.77777777777777,-8.88888888888891
1996-12-5,41,24,8,34,20,0,81,75,68,29.68,29.54,29.44,15,13,1,17,4,NA,0,6,Snow,0,12,5,1996,12-05,4,48,1996-12-05,Chicago,5,-4.44444444444446,-13.3333333333333,1.11111111111109,-6.66666666666669,-17.7777777777778
1996-12-6,48,38,28,38,32,25,90,73,62,29.66,29.64,29.63,15,15,15,10,6,NA,0,2,,292,12,6,1996,12-06,5,48,1996-12-06,Chicago,8.88888888888891,3.33333333333331,-2.22222222222223,3.33333333333331,0,-3.88888888888891
1996-12-7,45,38,30,35,28,25,81,66,53,30.03,29.96,29.87,15,15,14,24,15,NA,0,1,,302,12,7,1996,12-07,6,48,1996-12-07,Chicago,7.22222222222223,3.33333333333331,-1.11111111111109,1.66666666666669,-2.22222222222223,-3.88888888888891
1996-12-8,46,37,28,31,26,22,83,62,41,30.1,30.06,30.03,15,15,15,9,3,NA,0,1,,141,12,8,1996,12-08,7,49,1996-12-08,Chicago,7.77777777777777,2.77777777777777,-2.22222222222223,-0.555555555555543,-3.33333333333331,-5.55555555555554
1996-12-9,48,37,26,34,28,20,79,66,53,29.86,29.75,29.65,15,15,15,13,5,NA,0,4,,175,12,9,1996,12-09,1,49,1996-12-09,Chicago,8.88888888888891,2.77777777777777,-3.33333333333331,1.11111111111109,-2.22222222222223,-6.66666666666669
1996-12-10,39,34,30,30,28,25,82,73,67,29.95,29.57,29.5,15,13,8,12,4,NA,0,6,,11,12,10,1996,12-10,2,49,1996-12-10,Chicago,3.88888888888891,1.11111111111109,-1.11111111111109,-1.11111111111109,-2.22222222222223,-3.88888888888891
1996-12-11,55,41,27,34,29,25,91,69,44,29.76,29.7,29.67,15,9,1,17,6,NA,0,6,,187,12,11,1996,12-11,3,49,1996-12-11,Chicago,12.7777777777778,5,-2.77777777777777,1.11111111111109,-1.66666666666669,-3.88888888888891
1996-12-12,44,34,24,35,28,20,84,72,51,30.06,30.01,29.96,15,15,15,12,2,NA,0,3,,159,12,12,1996,12-12,4,49,1996-12-12,Chicago,6.66666666666669,1.11111111111109,-4.44444444444446,1.66666666666669,-2.22222222222223,-6.66666666666669
1996-12-13,46,39,32,33,30,27,80,64,53,30.15,30.13,30.09,15,15,15,17,11,NA,0,2,,354,12,13,1996,12-13,5,49,1996-12-13,Chicago,7.77777777777777,3.88888888888891,0,0.555555555555543,-1.11111111111109,-2.77777777777777
1996-12-14,34,31,28,27,25,22,94,84,73,30,29.94,29.85,15,7,1,32,13,NA,0,6,Snow,225,12,14,1996,12-14,6,49,1996-12-14,Chicago,1.11111111111109,-0.555555555555543,-2.22222222222223,-2.77777777777777,-3.88888888888891,-5.55555555555554
1996-12-15,37,29,21,25,16,12,83,61,35,30.38,30.27,30.13,20,18,15,21,15,NA,0,0,,279,12,15,1996,12-15,7,50,1996-12-15,Chicago,2.77777777777777,-1.66666666666669,-6.11111111111109,-3.88888888888891,-8.88888888888891,-11.1111111111111
1996-12-16,32,26,18,24,21,12,82,77,72,30.04,29.91,29.78,15,15,15,43,14,NA,0,6,,342,12,16,1996,12-16,1,50,1996-12-16,Chicago,0,-3.33333333333331,-7.77777777777777,-4.44444444444446,-6.11111111111109,-11.1111111111111
1996-12-17,10,8,5,3,0,-4,73,69,65,30.14,30.08,30.04,15,9,3,34,31,NA,0,7,Snow,333,12,17,1996,12-17,2,50,1996-12-17,Chicago,-12.2222222222222,-13.3333333333333,-15,-16.1111111111111,-17.7777777777778,-20
1996-12-18,9,5,0,1,-5,-9,72,65,61,30.18,30.16,30.13,15,15,15,40,30,NA,0,3,,327,12,18,1996,12-18,3,50,1996-12-18,Chicago,-12.7777777777778,-15,-17.7777777777778,-17.2222222222222,-20.5555555555555,-22.7777777777778
